,name,en_react,en_prod,en_ts,f_barr,b_barr
262,CO_Cat274,-4032.37952453,-4032.37726234,-4032.36111908,11.5495947265,10.1300490108
263,CO_Cat276,-4032.37645923,-4032.37813799,-4032.3643081999994,7.624886759810001,8.67832460818
264,CO_Cat277,-4790.69839451,-4790.70761581,-4790.69449203,2.44884327347,8.2352966257
265,CO_Cat278,-4176.03293245,-4176.02777841,-4176.00984705,14.486307811400001,11.252098748
266,CO_Cat279,-4333.17379903,-4333.15284903,-4333.13654494,23.3772953887,10.2309713637
267,CO_Cat280,-4572.80144683,-4572.79949531,-4572.78717683,8.95456056479,7.729963225260001
268,CO_Cat281,-4333.163828,-4333.16993075,-4333.14893502,9.345486433180001,13.175020034600001
269,CO_Cat282,-6013.91109095,-6013.91649745,-6013.89819905,8.089789722979999,11.482419835
270,CO_Cat283,-4032.37860592,-4032.37853207,-4032.36375209,9.32091943638,9.274577859639999
271,CO_Cat284,-4189.51022466,-4189.51131531,-4189.4972436,8.14573847015,8.83013170642
272,CO_Cat285,-3423.1275855999997,-3423.12754815,-3423.1114232,10.1420595429,10.1185593121
273,CO_Cat286,-3737.38798623,-3737.38626692,-3737.37123232,10.513237687,9.43435432844
274,CO_Cat287,-4333.01944888,-4333.0235177,-4333.00963952,6.1554665888999995,8.708689793069999
276,CO_Cat289,-4189.52063621,-4189.51785753,-4189.50277656,11.2071000417,9.46345194413
277,CO_Cat290,-4429.14859493,-4429.144442899999,-4429.12938265,12.0558882172,9.45044994782
278,CO_Cat291,-3078.36410068,-3078.36267537,-3078.34692991,10.7748212971,9.88042573177
279,CO_Cat292,-3235.48868256,-3235.48598369,-3235.4720388,10.4441175158,8.75055095142
280,CO_Cat293,-3706.87042134,-3706.87086669,-3706.85370217,10.491438007200001,10.7708993631
281,CO_Cat294,-3392.5967798,-3392.59793715,-3392.58164975,9.494250110569999,10.2204982302
282,CO_Cat295,-3379.11299501,-3379.11784775,-3379.10177747,7.03911291661,10.0842533676
283,CO_Cat296,-3850.52461303,-3850.52775041,-3850.51183651,8.017387676930001,9.986123431900001
284,CO_Cat297,-3693.41197877,-3693.41733351,-3693.40130311,6.69907806895,10.0592282889
285,CO_Cat298,-3859.20854021,-3859.20886483,-3859.19301567,9.7417963332,9.945498467030001
286,CO_Cat299,-3844.71694957,-3844.7196128,-3844.70596877,6.89055631772,8.56175844344
287,CO_Cat300,-4302.51985085,-4302.52290141,-4302.50695711,8.09094434023,10.0051997204
288,CO_Cat301,-4241.49432907,-4241.49184519,-4241.47765839,10.4610100715,8.90235177464
289,CO_Cat302,-5682.60069823,-5682.60399577,-5682.589907399999,6.77134833768,8.84058601485
290,CO_Cat303,-4001.86660475,-4001.86346555,-4001.84735156,12.0815596304,10.111681808
291,CO_Cat305,-4001.78830481,-4001.79021419,-4001.77572125,7.89630344392,9.09445753284
292,CO_Cat306,-4760.18410943,-4760.19394906,-4760.18095601,1.9788010073400002,8.15326230882
293,CO_Cat307,-4145.51027923,-4145.51293843,-4145.49551237,9.26634493532,10.9350181974
294,CO_Cat308,-4302.66057949,-4302.63961314,-4302.62336075,23.3551129279,10.1985291226
295,CO_Cat309,-4542.28492452,-4542.27824071,-4542.24844337,22.8922681956,18.6981139248
296,CO_Cat310,-4302.65410324,-4302.65900305,-4302.63986553,8.9342982833,12.008975606600002
297,CO_Cat311,-5983.39610242,-5983.40157199,-5983.38316044,8.12121539856,11.553422534500001
298,CO_Cat312,-4001.86177712,-4001.85952098,-4001.84470039,10.715810304,9.3000610206
