name,en_ts
CO_Cat757,-3737.42614058
CO_Cat758,-3423.16002728
CO_Cat759,-3409.68782786
CO_Cat760,-3881.10072372
CO_Cat761,-3723.99620798
CO_Cat762,-3889.77502744
CO_Cat763,-3875.28753769
CO_Cat764,-4333.07829415
CO_Cat765,-4272.05877915
CO_Cat766,-5713.16235521
CO_Cat767,-4032.43016594
CO_Cat768,-4032.41640150
CO_Cat769,-4032.42285264
CO_Cat770,-4790.83925223
CO_Cat771,-4176.09417892
CO_Cat772,-4333.23308929
CO_Cat773,-4572.85413434
CO_Cat774,-4333.23999712
CO_Cat775,-6013.96976043
CO_Cat776,-4032.42108555
CO_Cat777,-4189.54978245
CO_Cat778,-3423.17407083
CO_Cat779,-3737.43415028
CO_Cat780,-4333.07183678
CO_Cat781,-4333.23321972
CO_Cat782,-4189.56256749
CO_Cat783,-4429.18929146
CO_Cat784,-3037.10412392
CO_Cat785,-3194.21765002
CO_Cat786,-3665.61129454
CO_Cat787,-3351.32283057
CO_Cat788,-3337.85297574
CO_Cat789,-3809.25023728
CO_Cat790,-3652.14437872
CO_Cat791,-3817.93615052
CO_Cat792,-3803.46336932
CO_Cat793,-4261.26194244
CO_Cat794,-4200.23731733
CO_Cat795,-5641.34874205
CO_Cat796,-3960.60768627
CO_Cat797,-3960.59526338
CO_Cat799,-4719.01697152
CO_Cat800,-4104.26801517
CO_Cat801,-4261.39812182
CO_Cat802,-4501.02263476
CO_Cat803,-4261.40987268
CO_Cat806,-4117.73781575
CO_Cat807,-3351.35082730
CO_Cat808,-3665.61391995
CO_Cat810,-4261.39858812
CO_Cat811,-4117.57736988
CO_Cat813,-3156.91777005
CO_Cat814,-3314.04033317
CO_Cat815,-3785.42503991
CO_Cat816,-3471.14526549
CO_Cat817,-3457.66746434
CO_Cat818,-3929.06899649
CO_Cat819,-3771.96367794
CO_Cat820,-3937.75784704
CO_Cat821,-3923.27660631
CO_Cat822,-4381.07248310
CO_Cat823,-4320.04884926
CO_Cat824,-5761.15886079
CO_Cat825,-4080.42227266
CO_Cat826,-4080.40096014
CO_Cat827,-4080.42167226
CO_Cat828,-4838.83579182
CO_Cat829,-4224.06725720
CO_Cat830,-4381.20534513
CO_Cat831,-4620.84749447
CO_Cat832,-4381.21421077
CO_Cat833,-6061.94814736
CO_Cat834,-4080.41762948
CO_Cat835,-4237.54670292
CO_Cat836,-3471.16954939
CO_Cat837,-3785.42807838
CO_Cat838,-4381.06796499
CO_Cat839,-4381.21770870
CO_Cat840,-4237.55576215
CO_Cat841,-4477.17740135
